scenario,graph_mode,mae,rmse,best_val_loss,elapsed_min,epochs,window,n_features,n_nodes,n_edges,scenario_short,scenario_label
S10_transport_all_summarymask,soft_dynamic,2.6683478355407715,3.8563058363768707,0.00013962832317167127,27.749037504196167,100,24,18,40,706,S10,"S10
(All+SumM)"
S10_transport_all_summarymask,static,2.821791887283325,4.003355287930534,0.00014330586949226393,26.346468460559844,100,24,18,40,706,S10,"S10
(All+SumM)"
S1_transport_pm10,climatological,3.191394805908203,4.882008136872196,0.0002098348434254363,57.762088406085965,100,24,5,40,396,S1,"S1
(Base)"
S1_transport_pm10,soft_dynamic,2.882425546646118,4.110549816843597,0.00016242000043241526,78.06033017635346,100,24,5,40,706,S1,"S1
(Base)"
S1_transport_pm10,static,2.806063413619995,3.990696817228306,0.00014721496417598032,74.23737170298894,100,24,5,40,706,S1,"S1
(Base)"
S2_transport_pm10_pm10mask,climatological,3.264575719833374,5.010132631537383,0.00020832864529973663,56.38395942846934,100,24,5,40,396,S2,"S2
(+PM10 Mask)"
S2_transport_pm10_pm10mask,soft_dynamic,2.8076188564300537,3.994919888835431,0.00015900701032746037,80.16201988855998,100,24,5,40,706,S2,"S2
(+PM10 Mask)"
S2_transport_pm10_pm10mask,static,2.8090457916259766,4.014294830761843,0.0001518842286125565,78.44848815997442,100,24,5,40,706,S2,"S2
(+PM10 Mask)"
S3_transport_pm10_pollutants,climatological,3.5344510078430176,5.217380366797662,0.00020696466184317078,70.9074930826823,100,24,9,40,396,S3,"S3
(+Pollutants)"
S3_transport_pm10_pollutants,soft_dynamic,2.7138025760650635,3.916006370780836,0.0001535356579338173,94.31936041116714,100,24,9,40,706,S3,"S3
(+Pollutants)"
S3_transport_pm10_pollutants,static,2.8719687461853027,4.041131498686086,0.00014737117376438725,81.26362580855688,100,24,9,40,706,S3,"S3
(+Pollutants)"
S4_transport_pm10_pollutants_pm10mask,climatological,3.4519734382629395,5.117486237403541,0.00021201373918516123,56.41972941557567,100,24,9,40,396,S4,"S4
(+Poll+PM10M)"
S4_transport_pm10_pollutants_pm10mask,soft_dynamic,2.8800132274627686,4.050506023301262,0.00015379880359807217,78.25189875364303,100,24,9,40,706,S4,"S4
(+Poll+PM10M)"
S4_transport_pm10_pollutants_pm10mask,static,2.770094156265259,3.9134070176872715,0.00015276831601273872,73.59941831032435,100,24,9,40,706,S4,"S4
(+Poll+PM10M)"
S5_transport_pm10_pollutants_allmask,climatological,3.14321231842041,4.903753726830429,0.00020509188385296832,56.5072690765063,100,24,9,40,396,S5,"S5
(+Poll+AllM)"
S5_transport_pm10_pollutants_allmask,soft_dynamic,2.763545036315918,4.004707427464564,0.0001580104766831295,81.6689413189888,100,24,9,40,706,S5,"S5
(+Poll+AllM)"
S5_transport_pm10_pollutants_allmask,static,2.7495360374450684,4.0050450933730035,0.00015247579375521608,76.71737945079803,100,24,9,40,706,S5,"S5
(+Poll+AllM)"
S6_transport_pm10_pollutants_summarymask,soft_dynamic,3.014451742172241,4.194428363176947,0.00015829041294637136,26.73694601456324,100,24,9,40,706,S6,"S6
(+Poll+SumM)"
S6_transport_pm10_pollutants_summarymask,static,2.8399641513824463,4.073904842817878,0.00015533856494585053,72.46729259490967,100,24,9,40,706,S6,"S6
(+Poll+SumM)"
S7_transport_pm10_weather,soft_dynamic,2.9017839431762695,4.103697128675722,0.0001572981296596802,27.044742035865784,100,24,10,40,706,S7,"S7
(+Weather)"
S7_transport_pm10_weather,static,2.9974637031555176,4.096149702197479,0.0001459206101785907,25.63279427687327,100,24,10,40,706,S7,"S7
(+Weather)"
S8_transport_pm10_rain,soft_dynamic,2.8898351192474365,4.160874855409368,0.0001543013381973758,26.844997493426003,100,24,8,40,706,S8,"S8
(+Rain)"
S8_transport_pm10_rain,static,2.7587080001831055,3.8771334281908736,0.00014386820672798956,25.598879818121592,100,24,8,40,706,S8,"S8
(+Rain)"
S9_transport_pm10_weather_rain,soft_dynamic,2.769320487976074,3.9918504188202433,0.00015244109646814382,27.340912791093192,100,24,13,40,706,S9,"S9
(+Weath+Rain)"
S9_transport_pm10_weather_rain,static,3.052422523498535,4.318759301005835,0.00015502156504012152,26.014825530846913,100,24,13,40,706,S9,"S9
(+Weath+Rain)"
S10_transport_all_summarymask,soft_dynamic,2.670318603515625,3.8614484028276483,0.00013902991422048004,53.44733533859253,100,48,18,40,706,S10,"S10
(All+SumM)"
S10_transport_all_summarymask,static,2.8047361373901367,4.022392537238604,0.00013357757428928058,51.90815937916438,100,48,18,40,706,S10,"S10
(All+SumM)"
S1_transport_pm10,climatological,3.6048920154571533,5.317812608175371,0.00021409100282814025,101.26169678767522,100,48,5,40,396,S1,"S1
(Base)"
S1_transport_pm10,soft_dynamic,2.899362087249756,4.134915082029582,0.0001576549347887254,140.98544110854468,100,48,5,40,706,S1,"S1
(Base)"
S1_transport_pm10,static,2.820566177368164,4.120312657390616,0.0001529238745741382,143.08040951887767,100,48,5,40,706,S1,"S1
(Base)"
S2_transport_pm10_pm10mask,climatological,3.305943727493286,5.0166938569777875,0.00021373422607532977,125.77367879947026,100,48,5,40,396,S2,"S2
(+PM10 Mask)"
S2_transport_pm10_pm10mask,soft_dynamic,2.895246982574463,4.088477780112261,0.00017075331968097838,168.582022468249,100,48,5,40,706,S2,"S2
(+PM10 Mask)"
S2_transport_pm10_pm10mask,static,2.7031850814819336,3.88438030804174,0.00014691360616673005,149.21899292866388,100,48,5,40,706,S2,"S2
(+PM10 Mask)"
S3_transport_pm10_pollutants,climatological,3.413142681121826,5.283039038290607,0.00020409116396502428,100.65473393201827,100,48,9,40,396,S3,"S3
(+Pollutants)"
S3_transport_pm10_pollutants,soft_dynamic,2.70406436920166,3.89843468675531,0.00015451350186862435,146.3509640177091,100,48,9,40,706,S3,"S3
(+Pollutants)"
S3_transport_pm10_pollutants,static,2.661078929901123,3.822315775172407,0.00014454855053747237,139.00464206933975,100,48,9,40,706,S3,"S3
(+Pollutants)"
S4_transport_pm10_pollutants_pm10mask,soft_dynamic,2.788853168487549,3.9595458465785223,0.00015442431694656774,51.73100678126017,100,48,9,40,706,S4,"S4
(+Poll+PM10M)"
S4_transport_pm10_pollutants_pm10mask,static,2.8082785606384277,3.9988213233036567,0.00015756340384113547,50.39206653436025,100,48,9,40,706,S4,"S4
(+Poll+PM10M)"
S5_transport_pm10_pollutants_allmask,soft_dynamic,2.718543767929077,3.9278826047753737,0.00015684472279698479,51.81399080355962,100,48,9,40,706,S5,"S5
(+Poll+AllM)"
S5_transport_pm10_pollutants_allmask,static,2.631080150604248,3.808070126264464,0.0001526598292591242,50.42831894159317,100,48,9,40,706,S5,"S5
(+Poll+AllM)"
S6_transport_pm10_pollutants_summarymask,soft_dynamic,2.9164085388183594,4.262045228028069,0.00016788063957766795,51.720861144860585,100,48,9,40,706,S6,"S6
(+Poll+SumM)"
S6_transport_pm10_pollutants_summarymask,static,2.8369667530059814,4.032148157652294,0.00015105980637599714,50.49372133811315,100,48,9,40,706,S6,"S6
(+Poll+SumM)"
S7_transport_pm10_weather,soft_dynamic,2.719318151473999,3.92848093002913,0.00015381580853821052,51.83601147333781,100,48,10,40,706,S7,"S7
(+Weather)"
S7_transport_pm10_weather,static,2.8631296157836914,4.020408779256076,0.0001499800820430905,50.51038381656011,100,48,10,40,706,S7,"S7
(+Weather)"
S8_transport_pm10_rain,soft_dynamic,3.190394163131714,4.357604183280033,0.0001599167707728852,51.50482343037923,100,48,8,40,706,S8,"S8
(+Rain)"
S8_transport_pm10_rain,static,2.6707324981689453,3.8925765325119044,0.00014263196220888537,50.21425203084946,100,48,8,40,706,S8,"S8
(+Rain)"
S9_transport_pm10_weather_rain,soft_dynamic,2.851039171218872,4.01808773771718,0.00015374566740801503,52.56036174297333,100,48,13,40,706,S9,"S9
(+Weath+Rain)"
S9_transport_pm10_weather_rain,static,2.9177188873291016,4.133965661277685,0.00014787521238972926,51.2907414317131,100,48,13,40,706,S9,"S9
(+Weath+Rain)"
