feature,importance
습도,857
ambient_pm10,812
기온,737
traffic,327
weekday,287
hour_sin,233
elev_mean,199
month_cos,168
month_sin,161
hour_cos,115
season,60
buildings,20
sum_height,13
is_dry,11
road_struc,10
river_zone,9
ndvi,7
sum_area,3
ibi,1
is_weekend,0
greenspace,0
