feature,gamma
NDVI,-0.10807681828737259
IBI,0.08575516194105148
buildings_%,-0.22899898886680603
greenspace_%,-0.02473447099328041
road_struc_%,-0.054960697889328
river_zone_%,0.007470696233212948
elev_mean,-0.1620018035173416
sum_area,0.0009436429827474058
sum_height,0.08365557342767715
bias,3.996241569519043
