feature,gamma
NDVI,-0.06991475820541382
IBI,0.04059569165110588
buildings_%,-0.18617744743824005
greenspace_%,0.15139716863632202
road_struc_%,-0.04705497622489929
river_zone_%,-0.1311306655406952
elev_mean,-0.3113076984882355
sum_area,0.12091893702745438
sum_height,-0.008706120774149895
bias,1.8062899112701416
