feature,importance
pca_4,0.3174408537562537
pca_5,0.17583758328301324
pca_3,0.08560347022245991
pca_2,0.05045171955559655
doy_sin,0.049534007522663195
pca_7,0.04104087136336754
pca_0,0.03398994983112595
doy_cos,0.032640211022831316
pca_1,0.0322623703231007
month_sin,0.03149182356506204
pca_6,0.02549997534862875
hour_sin,0.013363917609581085
NDVI,0.01270794864101102
elev_mean,0.01165294478374469
IBI,0.010027788154612739
is_spring,0.009618303063629978
sum_area,0.00937909316421631
buildings_%,0.009207125864757257
road_struc_%,0.009072348411485055
sum_height,0.009068685387828544
month_cos,0.007980302703111175
hour_cos,0.007227766502660663
greenspace_%,0.006927962920296858
is_winter,0.003192177259322124
is_weekend,0.002708707010693136
river_zone_%,0.0020720927289464646
