CELL_ID,lat,lon,pm10_mean
다사54504050,37.4648535312386,126.985479280839,18.076944
다사54255675,37.6113064605341,126.981639435315,16.18967
다사54255700,37.613559742737706,126.98162379468201,16.22198
다사54255725,37.615813024073205,126.98160815230601,16.034454
다사54255750,37.618066304540704,126.981592508188,15.914624
다사54255575,37.6022933230394,126.98170198043002,16.613403
다사54255600,37.6045466087151,126.981686346764,16.097538
다사54255625,37.6067998935228,126.98167071135599,16.123695
다사54255650,37.6090531774624,126.981655074206,16.21521
다사54255875,37.6293326938562,126.981514261452,16.087656
다사54255900,37.631585969114795,126.98149860687401,15.9361105
다사54255925,37.6338392435052,126.981482950553,15.715136
다사54255950,37.6360925170274,126.981467292487,15.164062
다사54255775,37.6203195841401,126.981576862327,16.05079
다사54255800,37.6225728628713,126.981561214723,16.211597
다사54255825,37.6248261407344,126.981545565376,16.312605
다사54255850,37.6270794177294,126.981529914286,16.29136
다사54005750,37.6180538937833,126.97875978754601,15.9404335
다사54005775,37.6203071723795,126.978744056201,16.0631
다사54005800,37.6225604501075,126.978728323104,16.118553
다사54005825,37.6248137269673,126.978712588254,16.056417
다사54005650,37.6090407707171,126.978822695405,16.50713
다사54005675,37.611294052785894,126.978806971068,16.916626
다사54005700,37.6135473339865,126.978791244979,16.933884
다사54005725,37.6158006143189,126.978775517139,15.775139
다사54005950,37.6360800982428,126.978633887708,15.143271
다사54006150,37.65410624713079,126.978507875622,16.287592
다사54006175,37.6563595118339,126.97849211621401,16.242079
다사54006200,37.6586127756686,126.978476355049,16.828804
다사54005850,37.627067002958896,126.978696851651,16.12265
다사54005875,37.629320278082204,126.97868111329599,15.966793
다사54005900,37.6315735523374,126.97866537318701,15.830834
다사54005925,37.6338268257242,126.978649631324,15.781946
다사54005350,37.5820013181871,126.979011250901,19.802378
다사54005375,37.5842546106716,126.97899554756701,17.85208
다사54005400,37.5865079022883,126.978979842484,18.498243
다사54005425,37.588761193037,126.978964135652,17.579016
다사54005250,37.5729881395705,126.97907404674999,19.720102
다사54005275,37.5752414355264,126.979058350411,22.550745
다사54005300,37.5774947306145,126.979042652323,20.38325
다사54005325,37.57974802483471,126.979026952486,18.995258
다사54005550,37.6000276337616,126.978885575242,16.91383
다사54005575,37.6022809193026,126.97886985790899,16.307945
다사54005600,37.604534203975504,126.978854138825,16.321087
다사54005625,37.6067874877803,126.97883841799101,16.323835
다사54005450,37.5910144829179,126.97894842707,17.1627
다사54005475,37.5932677719308,126.978932716738,17.263475
다사54005500,37.595521060075704,126.978917004656,17.35691
다사54005525,37.5977743473526,126.978901290824,16.569624
다사54254475,37.503147894277205,126.98238814080798,22.745947
다사54254500,37.505401218126295,126.982372583563,20.312418
다사54254525,37.5076545411082,126.982357024586,20.148262
다사54254550,37.5099078632229,126.98234146387699,21.889994
다사54254375,37.4941345902093,126.982450352465,20.142643
다사54254400,37.496387917526995,126.98243480214899,21.00708
다사54254425,37.4986412439775,126.98241925010001,18.386406
다사54254450,37.5008945695609,126.98240369632,20.5815
다사54254675,37.5211744607879,126.98226363433099,19.261662
다사54254700,37.523427777699,126.982248063221,18.421804
다사54254725,37.5256810937428,126.982232490377,18.389168
다사54254750,37.52793440891929,126.982216915799,18.13996
다사54254575,37.5121611844704,126.982325901434,21.89821
다사54254600,37.514414504850706,126.982310337258,19.399776
다사54254625,37.5166678243637,126.98229477135,21.516844
다사54254650,37.5189211430094,126.98227920370701,20.082792
다사54254075,37.4670945947699,126.982636821271,17.141245
다사54254100,37.469347932491395,126.982621291718,17.928581
다사54254125,37.471601269345996,126.982605760436,18.092537
다사54254150,37.473854605333706,126.982590227425,17.857151
다사54253975,37.458081235215396,126.982698922194,15.922076
다사54254000,37.46033457640429,126.98268339955601,16.550528
다사54254025,37.4625879167263,126.98266787518999,17.32211
다사54254050,37.4648412561815,126.982652349095,17.104347
다사54254275,37.4851212722681,126.98251253642,21.36117
다사54254300,37.487374603054,126.982496993028,21.16156
다사54254325,37.4896279329728,126.982481447905,21.897789
다사54254350,37.491881262024606,126.982465901051,20.90577
다사54254175,37.476107940454504,126.982574692684,20.196577
다사54254200,37.4783612747084,126.982559156213,21.569963
다사54254225,37.4806146080953,126.982543618012,18.647692
다사54254250,37.4828679406151,126.982528078081,18.245575
다사54004150,37.4738422586563,126.979762957997,20.664906
다사54004175,37.476095592777796,126.979747338379,19.457342
다사54004200,37.478348926032204,126.979731717022,21.123495
다사54004225,37.4806022584195,126.979716093925,19.511238
다사54004050,37.4648289135011,126.97982541907899,16.62603
