CELL_ID,lat,lon,pm10_mean
다사54504050,37.4648535312386,126.985479280839,19.572174
다사54255675,37.6113064605341,126.981639435315,15.33543
다사54255700,37.613559742737706,126.98162379468201,15.347877
다사54255725,37.615813024073205,126.98160815230601,15.379846
다사54255750,37.618066304540704,126.981592508188,15.495964
다사54255575,37.6022933230394,126.98170198043002,16.139082
다사54255600,37.6045466087151,126.981686346764,15.414377
다사54255625,37.6067998935228,126.98167071135599,15.360343
다사54255650,37.6090531774624,126.981655074206,15.369467
다사54255875,37.6293326938562,126.981514261452,15.939449
다사54255900,37.631585969114795,126.98149860687401,15.877205
다사54255925,37.6338392435052,126.981482950553,15.831424
다사54255950,37.6360925170274,126.981467292487,15.6668625
다사54255775,37.6203195841401,126.981576862327,15.674206
다사54255800,37.6225728628713,126.981561214723,15.828936
다사54255825,37.6248261407344,126.981545565376,15.752755
다사54255850,37.6270794177294,126.981529914286,15.904128
다사54005750,37.6180538937833,126.97875978754601,15.568511
다사54005775,37.6203071723795,126.978744056201,15.61026
다사54005800,37.6225604501075,126.978728323104,15.865432
다사54005825,37.6248137269673,126.978712588254,15.819714
다사54005650,37.6090407707171,126.978822695405,15.395537
다사54005675,37.611294052785894,126.978806971068,15.742236
다사54005700,37.6135473339865,126.978791244979,15.788599
다사54005725,37.6158006143189,126.978775517139,15.675567
다사54005950,37.6360800982428,126.978633887708,15.700879
다사54006150,37.65410624713079,126.978507875622,16.709145
다사54006175,37.6563595118339,126.97849211621401,16.674677
다사54006200,37.6586127756686,126.978476355049,17.033451
다사54005850,37.627067002958896,126.978696851651,16.030842
다사54005875,37.629320278082204,126.97868111329599,16.091257
다사54005900,37.6315735523374,126.97866537318701,15.997052
다사54005925,37.6338268257242,126.978649631324,16.023558
다사54005350,37.5820013181871,126.979011250901,18.191399
다사54005375,37.5842546106716,126.97899554756701,17.860983
다사54005400,37.5865079022883,126.978979842484,20.27646
다사54005425,37.588761193037,126.978964135652,17.33665
다사54005250,37.5729881395705,126.97907404674999,18.29399
다사54005275,37.5752414355264,126.979058350411,17.965744
다사54005300,37.5774947306145,126.979042652323,21.10388
다사54005325,37.57974802483471,126.979026952486,17.289196
다사54005550,37.6000276337616,126.978885575242,16.190695
다사54005575,37.6022809193026,126.97886985790899,15.881264
다사54005600,37.604534203975504,126.978854138825,15.625306
다사54005625,37.6067874877803,126.97883841799101,15.402997
다사54005450,37.5910144829179,126.97894842707,16.701654
다사54005475,37.5932677719308,126.978932716738,16.811941
다사54005500,37.595521060075704,126.978917004656,16.524843
다사54005525,37.5977743473526,126.978901290824,16.216356
다사54254475,37.503147894277205,126.98238814080798,20.464695
다사54254500,37.505401218126295,126.982372583563,20.790274
다사54254525,37.5076545411082,126.982357024586,24.098726
다사54254550,37.5099078632229,126.98234146387699,24.254097
다사54254375,37.4941345902093,126.982450352465,20.945343
다사54254400,37.496387917526995,126.98243480214899,20.907423
다사54254425,37.4986412439775,126.98241925010001,19.444145
다사54254450,37.5008945695609,126.98240369632,21.766262
다사54254675,37.5211744607879,126.98226363433099,20.228645
다사54254700,37.523427777699,126.982248063221,19.859959
다사54254725,37.5256810937428,126.982232490377,19.517408
다사54254750,37.52793440891929,126.982216915799,19.278368
다사54254575,37.5121611844704,126.982325901434,23.859955
다사54254600,37.514414504850706,126.982310337258,21.34637
다사54254625,37.5166678243637,126.98229477135,21.101547
다사54254650,37.5189211430094,126.98227920370701,20.137857
다사54254075,37.4670945947699,126.982636821271,18.991674
다사54254100,37.469347932491395,126.982621291718,19.64641
다사54254125,37.471601269345996,126.982605760436,19.483824
다사54254150,37.473854605333706,126.982590227425,19.211077
다사54253975,37.458081235215396,126.982698922194,18.393017
다사54254000,37.46033457640429,126.98268339955601,18.682648
다사54254025,37.4625879167263,126.98266787518999,19.246906
다사54254050,37.4648412561815,126.982652349095,18.845768
다사54254275,37.4851212722681,126.98251253642,20.703487
다사54254300,37.487374603054,126.982496993028,20.092749
다사54254325,37.4896279329728,126.982481447905,21.201994
다사54254350,37.491881262024606,126.982465901051,21.067926
다사54254175,37.476107940454504,126.982574692684,20.04114
다사54254200,37.4783612747084,126.982559156213,20.526857
다사54254225,37.4806146080953,126.982543618012,21.03671
다사54254250,37.4828679406151,126.982528078081,20.900747
다사54004150,37.4738422586563,126.979762957997,20.268162
다사54004175,37.476095592777796,126.979747338379,20.269262
다사54004200,37.478348926032204,126.979731717022,20.063017
다사54004225,37.4806022584195,126.979716093925,20.088974
다사54004050,37.4648289135011,126.97982541907899,18.51456
다사54004075,37.4670822510903,126.979809806416,18.731356
다사54004100,37.4693355878126,126.97979419201499,18.510862
다사54004125,37.471588923668,126.979778575875,20.155727
다사54004350,37.4918689073505,126.97963795234301,19.746214
다사54004375,37.494122234535396,126.979622318806,19.590317
다사54004400,37.4963755608531,126.979606683527,19.866398
다사54004425,37.4986288863037,126.979591046507,19.220236
