epoch,train_loss,val_loss
1,0.0013380393032639403,0.0004109263910590123
2,0.0003490485804650234,0.000330445370876559
3,0.00030107308717560957,0.0003672190513872706
4,0.0002997691049313289,0.0003918916823321899
5,0.0002765854024801229,0.0003028727692949093
6,0.00025547646784616516,0.0002903684341136421
7,0.00025590207984350856,0.0002757339470382944
8,0.00024047172837526887,0.00027056514569695164
9,0.00023835392468754435,0.0004168218929621884
10,0.00023786472165738816,0.0007801607747644405
11,0.00024941784802649634,0.0002846384730861139
12,0.00022115891677458423,0.00026016144290812973
13,0.00021932993144218926,0.0003166977052494664
14,0.00022386209608157514,0.00037300137602655655
15,0.00020931552946422017,0.00026685419245896973
16,0.00020503686831943924,0.0002572428738965434
17,0.00021448600165967945,0.00027366831414196095
18,0.00020145909797065543,0.0002683192489819382
19,0.00020496202199865365,0.0003511014920899042
20,0.0001950445311740623,0.00023485602715107447
21,0.00018887258172981092,0.00023265917569754974
22,0.00019100795425401883,0.0003122929164365975
23,0.00019189318885764805,0.00023860184583634906
24,0.0001806150067022827,0.0002319659773253507
25,0.0001748571726420778,0.0002595398339240894
26,0.00017023293825332075,0.00021145365976468276
27,0.00016971047945844476,0.00021030282189124538
28,0.00017761639568561805,0.0003075846899745931
29,0.00016186737784664728,0.0002207796401789357
30,0.00015628106608346572,0.00027905027852873044
31,0.00015634087167200051,0.00020039416943772642
32,0.0001528677841724857,0.0002688452566337005
33,0.00016614992200629785,0.00018568425974295035
34,0.0001496946843690239,0.0002381169896312606
35,0.00014387552726475406,0.00020776210829567658
36,0.00015898268762612133,0.00018394487025729818
37,0.00014952312132663793,0.00017883056660888115
38,0.00014976830418163444,0.0004241494816275971
39,0.00014547679003953817,0.00019295379974851933
40,0.00014126747500995407,0.00018602599315379527
41,0.0001401351031017839,0.00017570005524355698
42,0.00013483368036759202,0.0001837201885149732
43,0.0001348448266799096,0.0002377004737568581
44,0.0001416457529012405,0.0001930191532986047
45,0.0001442825393678504,0.00017739003810942556
46,0.00013632393814987152,0.00017310994666973675
47,0.00013328333880053834,0.00024629433999721456
48,0.00013812124162541296,0.00016447537641130005
49,0.00013572188316175016,0.00019462076285408866
50,0.0001321282299068116,0.00017338992830071435
51,0.00012816821317755965,0.0001632032053106848
52,0.0001255092987594253,0.00018120472454671364
53,0.00012703491227512132,0.00017317276442019433
54,0.0001342323424796632,0.0002342116676599664
55,0.00013652370200361474,0.00019515073192237384
56,0.00012783085538103478,0.0001843522442761562
57,0.00012410059806825302,0.0001761869621130994
58,0.00012145217297074851,0.00022808242972721071
59,0.00011861504085572961,0.00016497490407132052
60,0.00011982797365817533,0.00019186869809773805
61,0.00012181603828139487,0.00018163947936366585
62,0.00013725002238970774,0.0001801368774014169
63,0.00011967226707383816,0.00023732539206428233
64,0.00012048188907101576,0.00017445977235397818
65,0.00012052214725372324,0.00022310790646930828
66,0.00013471446947733057,0.0001817209032785339
67,0.0001145738664035889,0.00016433885680538986
68,0.00011613068140832183,0.00017873943613855826
69,0.00012101945001631976,0.00016577066096086878
70,0.0001201892703466001,0.00017075219849870977
71,0.00011953503031691071,0.00016767025885843287
72,0.000109394822975446,0.00016756183275206508
73,0.00011757686958844715,0.00016327332495540546
74,0.00011581531960473512,0.00020507993279298876
75,0.0001120368026840879,0.00016392651202348882
76,0.00011807866893832397,0.0001639657482241198
77,0.00010861354000553547,0.00018534496339270846
78,0.00011533890312421136,0.00016699455389992664
79,0.00011655121898911603,0.00017915762077523942
80,0.00011124138550258066,0.00016481901308425758
81,0.00010741874069935875,0.0001622931866971639
82,0.0001087486565211293,0.0001743596033895087
83,0.0001117558039368305,0.00017249845541835598
84,0.0001171233501554525,0.00019232858676867395
85,0.00010670986196601007,0.00021278806611114894
86,0.00010755192087344767,0.0001572981296596802
87,0.00010684718403354054,0.0001775535439425285
88,0.00010533397275139578,0.00016813774675349978
89,0.00010935583892205613,0.0002015131351072341
90,0.0001089966640847706,0.0001648323050176259
91,0.00011636496619757964,0.00020544175816158874
92,0.00011065919945394853,0.0001592676386815797
93,0.00010537944841416902,0.000178125509281766
94,0.0001032002130705223,0.0001641200897318092
95,0.00011232274681788112,0.00017607783533201335
96,0.00011358486108292709,0.00016656285532757036
97,0.00010477938742951664,0.00016311431360972004
98,0.00010259635946567869,0.0001904830287779024
99,0.00010470999597600894,0.00017783022305914475
100,0.00010234743884211639,0.00016745963567861027
