feature,gamma
NDVI,-0.12443968653678894
IBI,0.05475886911153793
buildings_%,-0.11136209219694138
greenspace_%,0.20990772545337677
road_struc_%,0.046468302607536316
river_zone_%,-0.1098223403096199
elev_mean,-0.2528538107872009
sum_area,0.042941976338624954
sum_height,0.06705106049776077
bias,3.1015987396240234
