feature,gamma
NDVI,-0.2490452527999878
IBI,0.1137019544839859
buildings_%,-0.09212774783372879
greenspace_%,0.21657694876194
road_struc_%,-0.03545265272259712
river_zone_%,-0.006360016763210297
elev_mean,-0.22580039501190186
sum_area,-0.053760845214128494
sum_height,0.10174306482076645
bias,1.9130603075027466
