epoch,train_loss,val_loss
1,0.000937641571254062,0.00038827570325486514
2,0.0003587506833355292,0.0003700393403008537
3,0.00032742519026214724,0.0005192904490138252
4,0.00031965761703759197,0.0003475847360129782
5,0.00031731023223983355,0.00037057342630104423
6,0.00029905245606641983,0.00038784258064223715
7,0.0002961571974083199,0.0003124059434793348
8,0.00028262708332476904,0.00032545611070100827
9,0.0002817792435598676,0.0003114983231826891
10,0.0002813107177280472,0.00031597838113707125
11,0.0002743774611735716,0.00033236170032936106
12,0.0002675368397285638,0.0002904655704569873
13,0.00026083980403200256,0.000304720587358366
14,0.00025550163445586804,0.0002977281334562238
15,0.0002660491673486831,0.00029735838460362364
16,0.0002491893627302488,0.0002881996081478699
17,0.00024784289622402866,0.0002804251360134384
18,0.00024526003526261777,0.000282820435998918
19,0.00024273392707982566,0.00033339200308546424
20,0.00024191504204281955,0.000271176155450142
21,0.00022597441136895213,0.00029626031070176056
22,0.0002281295444117859,0.0002655057851793678
23,0.00022976220525379177,0.00025917601263689334
24,0.00022527761675519286,0.0002555086187406465
25,0.00021947988965621335,0.00027732979330277545
26,0.0002161474017884757,0.00025267741143897033
27,0.0002133443749335129,0.0002536683593440779
28,0.0002119172988932405,0.0002679885580809516
29,0.00020928425783495186,0.00025082363284783176
30,0.0002068922888065572,0.0002551022371335421
31,0.00020364935100587899,0.00024360752785321173
32,0.00020910607096084278,0.00023836286552893378
33,0.00020337720094175892,0.0002363685385336244
34,0.00019824507717203232,0.0002560782542236983
35,0.00019659466630400857,0.00024250676404673953
36,0.00020653027433581884,0.0002444276050123018
37,0.00019649865465908077,0.00024066580247795912
38,0.00019318519354783348,0.00023545203158539872
39,0.0001956239260834991,0.00023542961283711458
40,0.00019348859279489262,0.00023327226428887645
41,0.000198303717552335,0.00024134205819410814
42,0.00018955362358610728,0.00024624180070193603
43,0.00018646618871571264,0.00024923038599385913
44,0.00018703082776482915,0.00022473303511634545
45,0.00019260998136815032,0.0002299117519679956
46,0.00018676705531106563,0.00023545794448541846
47,0.0001912759472725156,0.00022836742488813565
48,0.00018555336635472485,0.0002375432108407082
49,0.00018481689052350701,0.00024994516689032535
50,0.0001813016202322615,0.00023271544603969317
51,0.0001836268214901793,0.0002784856973617977
52,0.00018221680884380475,0.00022966254195929396
53,0.00017860434729300323,0.00026699893351178616
54,0.00017903897633004818,0.00023046918253977457
55,0.00018791589169268264,0.00024997460575324897
56,0.0001795320081873797,0.00022176929717737271
57,0.00017444152223106357,0.00023629816741747565
58,0.00017694555577691063,0.0002561648113843931
59,0.00017694043131996295,0.0002260828755530637
60,0.00017347687000437872,0.0002411272432022257
61,0.00017979034686504747,0.00023191730589280988
62,0.0001755542668797716,0.00022640960551778037
63,0.00017839224530689536,0.00022043253349777862
64,0.00017202342438395136,0.00022172513084559224
65,0.00017131155016613774,0.00022939623556530298
66,0.00017658552389548276,0.00022694060685035913
67,0.00017132817120000255,0.00023453761156794594
68,0.00016886649214939098,0.00023171045955508774
69,0.00017580428700966877,0.00021961625959171892
70,0.0001727220370230498,0.00021973961626171393
71,0.0001691017611301504,0.0002290153040734748
72,0.00016853255920068477,0.00022130928943603744
73,0.00016757026432969723,0.00022044345060685585
74,0.00016874228193046293,0.00022081411572249043
75,0.0001702841787118814,0.00024000451915970526
76,0.0001650278326451371,0.00022543893858308493
77,0.00016799071468994952,0.00022938903515920216
78,0.00017023634383804166,0.00023800285034244448
79,0.0001685914802510524,0.0002259591767438525
80,0.0001687532321739127,0.00022911138723937384
81,0.00016413343544627424,0.00022900108913660895
82,0.00016314198745021714,0.00021259313004076493
83,0.00016109637463159742,0.00021904699928580707
84,0.00016346349930245195,0.00021606055595966187
85,0.0001607736901678436,0.00023484334578401908
86,0.00016467781850224128,0.00021948256928522444
87,0.00016221840591242653,0.0002309721696588514
88,0.0001604759973997716,0.0002170292299588043
89,0.0001645501616076217,0.00022327613573166715
90,0.00016454990298370831,0.0002173695781472583
91,0.00015995234665751922,0.00022624607629759974
92,0.000164062275125616,0.0002245500945718959
93,0.00015701359714512364,0.00021227181533440884
94,0.000160155293851858,0.00023352906303676548
95,0.00016047767794589163,0.00022268679280979233
96,0.00016219326218561036,0.00023414659729094765
97,0.00015838854005778558,0.00024994701126097635
98,0.00016301391740853433,0.00021257830278130334
99,0.00015857359881920273,0.00022532094209414344
100,0.00015803210937519906,0.00022556448734682163
