route_order,is_depot,grid_id,x,y,score
0,True,DEPOT,0.5,0.5,
1,False,3724.0,0.16107383370399475,0.8322147727012634,0.998306155204773
2,False,1345.0,0.05369127541780472,0.9731543660163879,0.9997487664222717
3,False,1491.0,0.06040268391370773,0.9463087320327759,0.9987915754318237
4,False,3743.0,0.16107383370399475,0.9597315192222595,0.9994255900382996
5,False,2680.0,0.11409395933151245,0.8724832534790039,0.9982759952545166
6,False,873.0,0.033557046204805374,0.8255033493041992,0.9990158677101135
7,False,2503.0,0.10738255083560944,0.6912751793861389,0.9987502098083496
8,False,5341.0,0.23489932715892792,0.6107382774353027,0.9988951086997986
9,False,9708.0,0.42953020334243774,0.7248321771621704,0.998279869556427
10,False,12284.0,0.5436241626739502,0.8993288278579712,0.9982757568359375
11,False,14387.0,0.63758385181427,0.9194630980491638,0.9985252618789673
12,False,16194.0,0.718120813369751,0.9664429426193237,0.9993696808815002
13,False,16634.0,0.7382550239562988,0.8993288278579712,0.999488115310669
14,False,16633.0,0.7382550239562988,0.8926174640655518,0.999979555606842
15,False,19175.0,0.8523489832878113,0.8389261960983276,0.9982852935791016
16,False,16457.0,0.7315436601638794,0.718120813369751,0.9982913732528687
17,False,22144.0,0.9865771532058716,0.6308724880218506,0.9981394410133362
18,False,19564.0,0.8724832534790039,0.42953020334243774,0.9985537528991699
19,False,17901.0,0.7986577153205872,0.34228187799453735,0.9997187256813049
20,False,22072.0,0.9865771532058716,0.14765100181102753,0.9993196725845337
21,False,17423.0,0.7785235047340393,0.15436241030693054,0.9995754361152649
22,False,17416.0,0.7785235047340393,0.10738255083560944,0.9984152317047119
23,False,14724.0,0.6577181220054626,0.16107383370399475,0.9993471503257751
24,False,14435.0,0.644295334815979,0.23489932715892792,0.9995807409286499
25,False,12916.0,0.5771812200546265,0.10738255083560944,0.9987745881080627
26,False,9028.0,0.4026845693588257,0.1879194676876068,0.9988422989845276
27,False,3150.0,0.1409395933151245,0.0,0.9999109506607056
28,False,6315.0,0.281879186630249,0.10067114233970642,0.9987573027610779
29,False,6916.0,0.3087248206138611,0.10738255083560944,0.9991364479064941
30,False,8135.0,0.3624161183834076,0.23489932715892792,0.9991431832313538
31,False,4400.0,0.19463087618350983,0.33557048439979553,0.9997648596763611
32,False,1560.0,0.06711409240961075,0.4026845693588257,0.9984667301177979
33,False,2920.0,0.12751677632331848,0.46979865431785583,0.9992879629135132
34,False,1104.0,0.0469798669219017,0.3624161183834076,0.9981443881988525
35,False,2753.0,0.12080536782741547,0.3557046949863434,0.9992517232894897
36,False,3053.0,0.1342281848192215,0.3557046949863434,0.9983992576599121
37,False,3199.0,0.1409395933151245,0.3288590610027313,0.998639702796936
38,False,3951.0,0.17449665069580078,0.34228187799453735,0.9991878867149353
39,False,5161.0,0.2281879186630249,0.4093959629535675,0.9989830851554871
40,False,5009.0,0.2214765101671219,0.3959731459617615,0.9982607960700989
41,False,6507.0,0.28859061002731323,0.38255032896995544,0.9991211891174316
42,False,9392.0,0.4161073863506317,0.6174496412277222,0.9992270469665527
43,False,11059.0,0.4899328947067261,0.7315436601638794,0.9982081055641174
44,False,12110.0,0.536912739276886,0.7382550239562988,0.9998218417167664
45,False,12257.0,0.5436241626739502,0.718120813369751,0.9981613755226135
46,False,14344.0,0.63758385181427,0.6308724880218506,0.9991065263748169
47,False,14788.0,0.6577181220054626,0.5906040668487549,0.9987006187438965
48,False,13441.0,0.5973154306411743,0.6107382774353027,0.9998352527618408
49,False,14029.0,0.6241610646247864,0.5302013158798218,0.999584436416626
50,True,DEPOT,0.5,0.5,
51,False,11191.0,0.4966442883014679,0.6107382774353027,0.9988229870796204
52,True,DEPOT,0.5,0.5,
