exp_id,use_bias,use_seasonal,use_hier,mlp_hidden,val_mae,test_mae,test_rmse,test_r2,stgnn_mae,elapsed_min
V5-season,True,True,False,"[64, 32]",3.9391608238220215,2.581289291381836,3.6565513610839844,0.8846655347771464,2.6143953800201416,18.52
V5-bias,True,False,False,"[64, 32]",3.9065608978271484,2.600722551345825,3.669316053390503,0.8838588779943186,2.6143953800201416,14.47
V5-hier,True,True,True,"[64, 32]",3.9536290168762207,2.6007251739501953,3.6767184734344482,0.8833898008539612,2.6143953800201416,5.99
V5-base,False,False,False,"[64, 32]",3.914670467376709,2.6036059856414795,3.672672748565674,0.8836462934972845,2.6143953800201416,13.22
V5-hier-deep,True,True,True,"[128, 64, 32]",3.948019027709961,2.666900634765625,3.704559326171875,0.8816171253847735,2.6143953800201416,7.34
