feature,importance
h_53,0.18199817201632804
h_31,0.13022965765795602
h_50,0.08968506130827199
h_44,0.05707336089157628
h_40,0.05447411725604558
h_4,0.05157554515389627
h_15,0.034474072038182924
h_57,0.03246390151615996
h_11,0.02724616928849213
h_12,0.02560674756630568
h_22,0.02089085147308534
h_38,0.02017550364907205
h_39,0.015088452388786882
h_9,0.015040264652016959
h_17,0.015029157891022155
h_8,0.014024706693055966
h_19,0.013938813508616865
h_45,0.01329658081110022
h_13,0.01048769144904755
h_55,0.00849572589414246
h_52,0.008346727485418476
h_26,0.008302080230145031
h_56,0.008207391342517098
h_24,0.00787284728711626
h_29,0.007309272257669238
h_47,0.007292393429200819
h_21,0.006363981127241844
h_37,0.006341284386837958
h_54,0.006234862804767052
h_59,0.006059410506002954
h_2,0.004748298190846392
h_63,0.004520932062051305
h_58,0.004507303814532172
h_60,0.004502975059591426
h_10,0.004049821752635534
h_14,0.0036758668470676164
h_18,0.0035238166478791925
h_42,0.003505410727595862
h_3,0.003357876154695305
h_20,0.0031564218595218786
h_30,0.003100476964349555
h_7,0.0030801819216910767
h_41,0.0029786141280639332
h_46,0.002949032685885867
h_35,0.0028838722252971026
h_25,0.0028685299845739587
h_36,0.0028050248107477564
h_62,0.0027349882884839037
h_34,0.0026628302891954173
h_1,0.0025677759094640215
h_33,0.0025434577746886056
h_61,0.002493010865939994
h_6,0.0023460479944495353
h_51,0.002277774508135989
h_0,0.0022359950326449516
h_32,0.002202398423702754
h_16,0.002172927217628063
h_27,0.0021608636212686553
h_5,0.0020986246952368476
h_28,0.0020973258289105744
h_23,0.0018721386680681919
h_48,0.001415399916177612
h_43,0.0011674879529552655
h_49,0.001111693215945675
